H2O_IDE_2-5,168.0785,217.947,248.1846,264.6853,273.9129,280.262,286.2616,292.778,300.9583,311.5521,325.0971,342.0298,362.4738,386.4569,414.0648,445.5913,481.5841,522.7531,571.1731,627.8156,695.6853,778.1412,879.635,1004.133,1157.052,1344.213,1570.234,1839.646,2168.303,2549.175,3024.436
H2O_IDE_3-1,183.9042,244.7399,280.2681,297.327,304.5814,308.283,311.8033,314.96,318.9258,323.4901,328.9836,335.3603,342.9517,352.1164,363.4688,377.5385,395.0443,416.1792,439.9261,469.0067,501.5982,538.2368,582.9575,639.4187,714.183,813.284,946.7265,1129.621,1375.325,1712.281,2180.895
H2O_IDE_3-2,186.3502,250.5261,289.1582,308.2725,316.3932,320.7508,324.819,328.5412,333.1329,339.0198,345.8501,354.066,364.0043,375.9308,389.9623,406.5464,426.2139,449.251,475.9894,507.0767,542.219,583.6164,634.8568,700.8156,787.1201,901.1328,1052.754,1257.134,1527.012,1900.716,2410.08
H2O_IDE_3-3,189.8413,260.2401,304.6024,327.135,337.2637,342.676,347.6296,351.875,357.1103,363.6124,371.6068,381.1549,392.6899,406.4632,422.7271,441.7589,464.0752,489.7533,519.9177,554.8815,594.6299,641.0851,697.618,769.9728,863.8866,988.4771,1152.181,1375.448,1665.517,2064.151,2622.868
H2O_IDE_3-4,192.5201,268.9274,319.5295,346.0765,358.3005,364.7776,370.1886,375.1553,381.0699,388.3238,397.1112,407.7902,420.7392,436.049,454.0763,475.1375,499.6229,527.8485,560.7321,598.9208,642.3467,693.2894,755.3445,833.3462,934.4572,1067.46,1241.366,1478.605,1781.153,2199.008,2751.432
H2O_IDE_3-5,194.2948,275.8511,332.1762,362.6565,377.006,384.638,390.6215,396.127,402.7316,410.7855,420.4913,432.2201,446.1258,462.6377,482.1875,504.9941,531.611,562.0781,597.5838,638.8381,685.9157,741.2081,808.3378,892.0052,999.7836,1140.652,1323.789,1565.674,1895.335,2324.513,2926.198
H2O_IDE_4-1,159.732,202.1721,225.2541,235.3015,239.4321,241.5839,243.4788,245.8261,248.9386,252.8292,257.5921,263.4006,270.5436,279.6581,291.06,305.387,323.1143,344.451,370.8231,403.5468,443.2041,492.1461,553.2841,629.9882,726.1657,848.0737,1002.825,1206.563,1465.415,1802.507,2259.914
H2O_IDE_4-2,159.5164,201.5775,224.4223,234.3732,238.5956,240.9273,242.9341,245.7685,249.6254,254.852,261.7662,270.485,281.6957,295.7482,312.8513,333.4152,357.8292,386.416,420.759,461.194,508.3406,564.3083,632.61,716.2139,820.9385,951.0086,1114.927,1330.713,1595.213,1956.091,2445.724
H2O_IDE_4-3,158.9082,200.6483,223.2937,233.2198,237.4348,239.8232,241.976,245.0005,249.3142,255.1906,263.0905,273.4709,286.7859,303.3231,323.2609,346.9864,374.7775,407.1348,445.3566,489.8903,541.1238,601.9031,674.3598,762.4929,871.9076,1008.028,1177.521,1400.214,1670.471,2041.575,2506.24
H2O_IDE_4-4,158.104,199.3358,221.66,231.4724,235.694,238.1923,240.5666,243.8426,248.422,254.7335,263.2987,274.6209,289.1185,306.9499,328.5304,354.1823,384.3582,419.0197,460.1306,507.4713,562.063,625.8179,701.8204,794.1817,907.2655,1047.443,1213.544,1443.898,1723.289,2099.253,2591.776
H2O_IDE_4-5,157.555,198.4774,220.5816,230.3278,234.5766,237.16,239.5633,243.0736,247.9694,254.6859,263.8161,275.9432,291.5725,310.9052,334.1955,361.5817,393.399,429.6118,471.1504,519.5734,575.0002,639.7792,716.7662,809.0845,920.6398,1057.474,1214.887,1433.327,1690.861,2034.896,2495.178
KCl_IDE_1-1,163.7835,175.3024,179.2992,180.3193,180.2584,180.1187,179.9895,180.414,181.5537,183.0354,184.7878,186.7908,189.1862,192.0674,195.6254,200.0899,205.7582,212.9108,221.8909,233.4646,248.2676,266.9219,290.1913,319.6255,357.5341,407.1782,475.7879,574.3361,713.0027,914.9006,1201.273
