Soil_1_IDE_3-2,54.7064,77.01408,120.0475,199.3096,362.6249,641.3699,1322.204,2754.931,5516.97,9967.26,15556.43,21018.31,25498.68,28946.43,31690.5,34037.05,36039.16,37749.35,39190.39,40381.3,41347.53,42218.82,43034.3,43810.61,44736.02,45955.78,47698.57,50505.22,53622.58,55720.36,57575.77
Soil_1_IDE_3-3,54.83485,77.25763,120.3669,199.9851,364.0929,644.1011,1328.388,2766.066,5529.593,9959.725,15493.34,20892.34,25329.68,28822.47,31635.07,34069.1,36118.5,37806.87,39241.49,40312.24,41208.91,42024.05,42771.86,43490.88,44381.54,45551.56,47289.95,50141.82,53520.31,55244.9,56820.1
Soil_1_IDE_3-4,54.88035,77.27621,120.5631,200.3397,364.814,645.8049,1332.447,2774.583,5538.839,9962.177,15467.48,20851.01,25327.5,28882.93,31767.67,34231.41,36358.95,38070.04,39429.32,40489.39,41323.97,42088.92,42820.19,43550.49,44475.59,45624.48,47333.89,50435.25,53335.76,55049.34,56905.58
Soil_1_IDE_3-5,54.82846,77.22157,120.4562,200.3291,364.9193,645.9979,1333.775,2776.837,5540.936,9961.177,15477.24,20892.12,25419.64,29001.21,31937.93,34465.21,36564.38,38249.63,39530.73,40516.59,41357.66,42131.36,42934.81,43673.91,44575.66,45787.41,47787.01,50806.39,53471.76,55480.97,57167.65
Soil_1_IDE_4-1,137.5103,248.2041,419.4404,685.3748,858.4695,994.1101,1109.959,1231.658,1388.323,1614.408,1947.71,2434.171,3123.357,4061.554,5280.564,6784.087,8537.737,10476.37,12543.96,14584.61,16570.86,18427.62,20257.62,21995.99,23742.13,25473.81,27300.07,29521.02,32038.26,34246.36,36344.57
Soil_1_IDE_4-2,137.1726,247.9179,419.7567,686.9627,861.4164,997.9521,1114.39,1235.391,1389.78,1610.491,1936.021,2413.393,3096.248,4038.726,5279.188,6823.087,8624.429,10601.74,12670.83,14712.5,16666.75,18454.68,20269.04,21981.87,23681.33,25353.31,27268.8,29540.23,32116.65,34401.8,36719.64
Soil_1_IDE_4-3,136.8907,247.4891,419.4576,687.6304,863.4543,1001.429,1118.352,1240.631,1395.084,1614.966,1938.089,2411.062,3088.883,4027.006,5268.776,6818.223,8633.777,10627.4,12703.6,14763.79,16749.35,18612.27,20381.0,22073.38,23780.61,25514.3,27314.2,29537.34,32090.62,34398.64,36678.9
Soil_1_IDE_4-4,136.5846,247.0731,419.3973,688.6587,866.0651,1005.248,1122.006,1245.111,1399.966,1620.015,1941.963,2413.282,3088.609,4024.801,5266.659,6821.798,8650.656,10668.24,12770.57,14857.08,16842.34,18709.02,20520.51,22224.97,23896.62,25528.16,27263.95,29456.21,32076.17,34508.93,36731.35
Soil_1_IDE_4-5,136.2587,246.609,419.309,690.0239,869.061,1009.62,1127.96,1251.03,1406.29,1626.089,1947.843,2417.417,3090.537,4024.716,5267.051,6826.312,8666.888,10696.15,12840.26,14947.54,16973.32,18836.19,20608.05,22279.39,23888.99,25520.0,27259.31,29370.7,32056.04,34457.44,36585.41
Soil_3_IDE_1-1,87.37679,167.2035,324.2638,602.4489,993.6227,1394.156,1721.963,1989.254,2261.269,2607.812,3101.23,3834.278,4922.122,6483.596,8606.495,11258.81,14257.85,17288.01,20123.3,22462.1,24393.06,26000.32,27399.29,28667.78,29945.48,31415.94,33396.29,36581.88,40033.36,42323.74,44231.52
