terra898 4;391,1995;622,4619;966,3925;1502,631;2316,197;3493,79;5249,976;7552,559;10096,23;12286,49;13748,92;14559,23;14989,02;15221,4;15363,08;15472,77;15562,19;15654,14;15764,36;15896,43;16065,48;16265,46;16583,58;17024,37;17630,73;18447,31;19610,13;21749,48;24497,73;26157,93;27367,16;367,7979;563,7078;838,309;1224,433;1741,624;2387,992;3106,254;3774,348;4285,512;4620,24;4824,547;4953,798;5042,53;5111,177;5170,672;5227,349;5288,503;5352,801;5427,278;5513,163;5619,364;5745,293;5913,813;6121,182;6364,872;6634,832;6933,711;7287,462;7684,257;8068,945;8430,551;389,5106;616,1712;958,0228;1485,751;2283,869;3424,985;5093,885;7200,185;9434,105;11259,93;12473,58;13160,85;13531,69;13737,09;13871,97;13977,91;14073,73;14179,69;14285,41;14429,49;14611,61;14842,65;15156,59;15579,78;16133,69;16835,6;17864,37;19618,76;21913,91;23405,41;24807,93;425,8658;667,4736;1039,423;1607,313;2463,013;3671,439;5381,427;7419,511;9406,205;10867,96;11742,05;12212,53;12461,67;12611,45;12716,99;12805,1;12898,33;12995,84;13093,64;13240,03;13423,64;13660,13;13991,65;14407,15;14959,35;15646,85;16630,23;18322,8;20176,57;21586,77;22849,42;
terra899 0;395,5314;629,0172;976,7583;1519,066;2340,57;3528,83;5277,927;7529,431;9959,664;12015,14;13410,88;14261,39;14768,75;15139,2;15437,98;15706,02;15984,02;16293,46;16611,11;16998,68;17444,63;17951,36;18625,66;19438,0;20457,17;21718,94;23339,3;25558,51;27936,26;29951,46;33030,82;338,1857;501,8061;702,9051;961,7004;1164,917;1330,48;1453,664;1552,488;1653,505;1779,56;1950,151;2170,776;2439,934;2745,625;3070,751;3403,841;3731,664;4049,535;4357,212;4657,761;4955,375;5264,64;5584,585;5929,86;6295,223;6682,669;7089,967;7520,276;7945,682;8360,354;8787,966;394,9389;624,413;970,7663;1505,357;2312,654;3466,319;5140,799;7228,637;9402,619;11169,34;12323,3;13004,91;13397,64;13652,53;13835,13;14012,2;14196,88;14403,01;14652,49;14932,88;15304,05;15759,32;16340,63;17078,85;17984,24;19065,13;20529,12;22708,13;25125,37;26890,23;29212,53;429,3853;673,2715;1048,48;1621,37;2484,37;3703,345;5418,196;7446,809;9376,369;10758,52;11582,16;12030,52;12283,22;12427,65;12548,92;12663,15;12802,51;12952,42;13167,53;13385,94;13674,87;14035,66;14481,8;15065,07;15787,38;16667,38;17813,35;19520,91;21752,23;23485,59;25367,81;
terra899 1;394,7755;628,017;975,1786;1516,827;2337,457;3524,373;5273,593;7524,397;9963,587;12024,86;13420,2;14233,31;14716,04;15013,73;15227,49;15442,66;15650,18;15826,79;16128,85;16436,28;16829,91;17309,61;17909,86;18658,58;19632,49;20842,77;22403,87;24700,5;26872,08;28615,87;31549,39;338,3731;502,3811;704,2212;964,626;1170,367;1338,265;1464,072;1565,068;1669,246;1799,33;1972,898;2195,913;2464,75;2766,172;3085,031;3409,339;3728,222;4035,884;4333,71;4626,678;4917,508;5218,611;5534,501;5872,68;6234,776;6623,56;7034,769;7468,563;7908,92;8332,535;8759,952;394,7442;624,2033;970,302;1504,73;2311,512;3464,206;5135,283;7217,694;9395,379;11152,01;12306,62;12972,72;13349,74;13579,45;13759,93;13910,17;14058,87;14230,12;14420,67;14670,32;14991,39;15401,91;15941,08;16637,95;17525,01;18587,02;20065,33;22280,33;24531,74;26248,08;28523,87;429,6904;673,3772;1048,752;1622,369;2486,56;3709,923;5432,603;7471,278;9410,413;10828,38;11670,71;12126,06;12372,97;12519,04;12646,69;12763,27;12885,44;13023,88;13175,15;13373,7;13630,26;13946,85;14344,79;14872,55;15542,62;16379,94;17470,92;19205,16;21505,42;23144,91;24585,69;
terra899 2;394,2307;627,226;973,9741;1514,984;2334,297;3519,086;5263,339;7510,951;9940,636;11978,08;13355,73;14142,24;14574,76;14856,73;15065,14;15232,67;15420,24;15618,82;15835,31;16117,27;16469,7;16925,25;17489,68;18215,19;19147,56;20339,18;21946,44;24197,25;26198,41;27996,16;30411,04;338,5902;502,9449;705,6237;967,1408;1174,823;1344,701;1471,609;1573,726;1678,673;1810,762;1987,714;2213,44;2484,093;2785,819;3102,026;3421,707;3736,524;4039,977;4334,154;4621,043;4906,074;5198,654;5507,722;5840,917;6200,443;6583,603;6993,175;7428,271;7868,069;8293,824;8726,063;394,6252;623,9933;970,0665;1504,364;2310,833;3463,779;5136,96;7227,743;9402,037;11173,56;12322,61;12995,79;13367,43;13580,4;13736,73;13866,55;13999,78;14147,64;14305,64;14556,92;14873,1;15285,74;15803,84;16490,6;17340,99;18364,85;19839,49;22044,1;24046,41;25700,96;28160,66;429,5459;673,1518;1048,526;1621,678;2485,708;3708,027;5427,802;7464,842;9405,7;10827,37;11673,58;12137,74;12379,39;12543,35;12668,76;12761,42;12866,28;12983,08;13118,11;13301,72;13526,16;13822,17;14211,79;14713,56;15362,1;16193,57;17267,15;19120,11;21280,48;22713,94;24139,58;
terra899 3;393,8588;626,6409;973,1403;1513,709;2332,379;3515,316;5260,56;7503,928;9930,921;11959,18;13302,14;14076,48;14505,0;14753,57;14943,64;15098,2;15243,87;15419,46;15626,67;15876,31;16214,49;16645,4;17162,07;17889,2;18815,67;19948,83;21543,52;23730,15;25864,04;27657,44;30260,1;338,7511;503,2802;706,5808;969,1362;1178,058;1349,417;1476,952;1580,067;1685,88;1818,085;1996,23;2224,09;2496,117;2797,612;3113,423;3430,787;3742,608;4040,776;4329,587;4609,435;4887,779;5175,176;5477,915;5807,086;6162,965;6546,187;6952,718;7384,704;7828,212;8263,283;8701,288;394,498;623,7607;969,7802;1503,744;2310,186;3461,789;5133,305;7217,659;9393,967;11143,36;12290,07;12926,98;13268,38;13472,71;13607,88;13711,91;13844,26;13988,99;14164,1;14403,3;14700,44;15074,48;15572,13;16232,47;17059,0;18073,77;19517,18;21639,77;23688,82;25338,11;27696,68;429,4293;673,0339;1048,269;1621,48;2485,226;3706,223;5429,519;7467,456;9419,118;10856,67;11701,95;12162,36;12407,82;12544,77;12646,3;12736,16;12820,71;12936,69;13066,42;13238,53;13469,05;13761,66;14117,48;14626,5;15286,29;16098,92;17211,78;19060,62;21059,79;22531,81;24096,55;
terra899 4;393,6251;626,2616;972,478;1512,647;2330,832;3512,76;5253,972;7488,902;9894,788;11898,02;13220,1;13970,16;14379,54;14605,43;14781,24;14924,58;15070,37;15219,81;15432,78;15682,06;15987,96;16400,61;16904,96;17579,23;18454,96;19545,73;21086,84;23258,17;25640,16;27438,5;29861,82;339,2606;503,7157;707,3347;970,5632;1180,144;1352,338;1480,563;1584,086;1690,151;1823,258;2001,528;2230,872;2504,575;2806,914;3122,033;3436,328;3743,617;4038,38;4320,892;4595,87;4869,808;5153,881;5452,288;5777,394;6132,34;6512,212;6917,522;7350,502;7786,932;8226,907;8660,745;394,3795;623,5809;969,4824;1503,609;2310,19;3463,213;5133,415;7213,688;9358,286;11071,41;12165,08;12759,38;13100,75;13319,72;13471,16;13613,54;13759,11;13899,49;14082,98;14308,73;13746,85;104565,9;94639,67;93471,3;92983,52;93421,41;94419,51;96995,3;100409,7;174886,2;189974,1;429,3207;672,7938;1047,934;1620,774;2484,272;3706,457;5429,159;7470,435;9411,783;10825,27;11660,43;12098,11;12333,76;12470,46;12562,18;12658,46;12755,75;12861,82;13000,36;13177,34;13383,14;13625,88;14150,74;14536,37;15134,98;15896,85;16973,77;18748,21;20790,17;22293,44;23903,96;
terra939 0;102,3301;153,9671;246,9091;413,2229;713,1127;1273,72;2264,312;3858,5;6325,983;9885,122;14681,57;20729,29;26469,82;30872,36;33701,8;35230,81;36179,3;36936,59;37197,26;38213,1;38698,81;40264,18;40738,7;42289,46;44739,66;47504,26;52085,86;57962,41;66692,27;77144,55;93188,19;101,4373;152,6261;245,1131;411,6522;712,4399;1248,915;2142,589;3391,716;4803,596;6097,596;7026,052;7699,343;8104,344;8396,154;8613,774;8755,711;8929,131;9085,961;9229,501;9420,129;9617,069;9946,476;10201,36;10485,3;10875,02;11307,79;11766,29;12229,93;12725,68;13049,66;13606,09;102,0603;153,5247;246,3258;412,2045;712,6475;1268,535;2245,081;3787,912;6065,699;9204,619;13236,91;18233,65;22837,1;26472,7;28838,09;29301,44;29033,46;31574,71;32527,81;33443,5;34302,3;37184,96;37340,55;38997,44;41965,44;45770,18;51791,05;59641,22;72521,87;87244,7;109738,6;101,4046;152,7729;246,3555;416,3535;723,3539;1235,295;1964,03;2779,356;3650,636;4678,443;5974,084;7765,886;9900,457;12327,49;14890,8;17355,08;19603,31;21717,99;24068,52;26245,99;29127,69;33081,53;36654,81;42698,53;50620,7;59859,59;72829,59;88826,9;108495,7;131247,1;161785,1;
terra939 1;102,2881;153,8624;246,7673;412,9611;713,0615;1274,044;2262,017;3866,937;6330,943;9900,146;14685,99;20802,26;26463,73;31042,35;33712,25;35477,31;36295,68;36831,35;37287,16;38124,81;38427,15;38917,55;40639,58;42518,96;44633,47;47412,1;51431,4;57512,32;65152,71;76100,12;92707,78;101,4293;152,5399;245,3683;412,0698;712,3012;1248,012;2140,916;3387,152;4804,638;6071,097;6984,865;7664,959;8067,961;8361,069;8578,115;8718,104;8891,096;9044,804;9179,117;9358,426;9575,896;9763,617;10086,13;10456,92;10858,65;11291,26;11742,08;12194,44;12704,2;13173,39;13450,46;102,058;153,6012;246,3089;412,935;712,48;1269,147;2247,142;3787,906;6076,901;9204,899;13227,06;18232,28;22903,28;26590,05;29037,84;30379,52;31494,72;32252,5;32828,63;33632,28;34330,84;36600,47;36460,52;38753,23;41494,86;45261,76;50522,11;58978,14;70243,26;85957,77;107938,6;101,368;152,7279;246,3304;416,4245;722,3992;1234,959;1966,565;2784,268;3648,568;4673,63;5974,432;7739,634;9841,223;12260,34;14782,13;17224,22;19413,35;21472,48;23740,12;26061,88;28607,68;32070,95;35809,7;41917,53;49495,3;58443,14;70270,32;86333,94;106488,4;129928,7;159739,8;
terra939 2;102,2916;153,9638;246,8089;413,3797;713,3772;1273,505;2262,758;3868,398;6332,338;9882,089;14712,78;20782,34;26598,35;31039,89;33766,23;35294,71;36162,54;36851,35;37219,25;38057,84;38711,68;40074,13;39939,27;42417,84;44218,68;47178,45;50979,16;56989,35;63948,58;75513,41;91246,38;101,4138;152,5476;245,1045;411,7558;712,8352;1248,79;2141,858;3382,431;4805,148;6084,327;6994,423;7663,794;8057,154;8349,204;8555,341;8685,683;8862,058;8992,393;9143,049;9359,392;9552,02;9716,243;10054,68;10455,15;10817,73;11269,81;11711,4;12190,13;12635,54;13151,37;13500,73;102,0331;153,6057;246,3439;412,374;712,2616;1269,542;2243,403;3790,265;6076,334;9215,96;13238,66;18203,17;22857,93;26589,92;28957,58;30438,1;31418,99;31961,31;32626,88;33082,05;34045,75;33391,6;36689,08;38287,65;40931,45;44672,07;49920,95;57941,28;69355,25;83405,45;104885,3;101,4324;152,8102;246,534;416,5863;723,2136;1235,234;1968,115;2786,767;3650,468;4680,744;5954,133;7715,876;9822,577;12219,12;14646,86;17054,63;19264,38;21505,7;23510,42;25668,75;28252,09;32016,66;35897,16;41279,18;48436,11;57855,37;69978,23;86254,77;106334,1;128827,4;157735,1;
terra939 3;102,2983;153,9037;246,9576;413,1093;713,5681;1272,896;2264,324;3868,279;6336,046;9904,664;14684,9;20792,85;26554,84;30988,17;33662,21;35031,31;36023,56;36668,52;37045,2;37847,91;38530,89;38575,39;39873,52;42286,43;44092,75;46991,16;50941,81;56898,87;64625,04;74768,19;90931,29;101,4203;152,6024;245,2047;412,4182;712,7986;1249,638;2141,018;3384,236;4789,537;6070,089;6951,666;7599,649;7988,469;8266,48;8463,434;8614,5;8771,645;8903,426;9066,31;9261,624;9463,672;9837,111;10043,69;10380,11;10780,45;11199,22;11662,31;12170,12;12664,13;13076,73;13488,94;102,0867;153,6016;246,3759;412,7455;712,4524;1268,148;2245,524;3791,298;6072,676;9227,151;13257,42;18269,76;22960,21;26690,8;29082,8;30322,51;31249,24;31716,64;32401,29;33275,48;33835,86;35344,72;36363,54;38167,43;40597,59;44436,01;49611,19;57026,02;67923,6;81691,03;102949,9;101,4599;152,7759;246,4234;416,4791;722,9802;1235,592;1966,735;2792,0;3659,919;4684,355;5965,421;7729,644;9816,177;12197,3;14682,58;17048,98;19270,08;21428,42;23436,59;25608,63;28090,84;30742,41;35689,18;40818,3;48028,82;57066,74;68565,23;84993,18;105076,5;127305,4;156420,5;
